season,week,leg_a,leg_b,p_a,p_b,y_a,y_b,resid_a,resid_b,resid_product,joint_win,expected_joint,side_pair
2018,1,2018_01_BUF_BAL-BAL,2018_01_DAL_CAR-DAL,0.7659615602670387,0.7510325947045215,1,1,0.23403843973296135,0.24896740529547845,0.058267943079717596,1,0.5752620980512778,DF
2018,1,2018_01_BUF_BAL-BAL,2018_01_JAX_NYG-NYG,0.7659615602670387,0.7490759056139629,1,1,0.23403843973296135,0.25092409438603713,0.05872588354151446,1,0.573763349422516,DF
2018,1,2018_01_DAL_CAR-DAL,2018_01_JAX_NYG-NYG,0.7510325947045215,0.7490759056139629,1,1,0.24896740529547845,0.25092409438603713,0.0624719207054094,1,0.5625804210238938,DD
2018,3,2018_03_CIN_CAR-CIN,2018_03_GB_WAS-WAS,0.7452818581366227,0.7364412874896358,0,1,-0.7452818581366227,0.2635587125103642,-0.1964255269878202,0,0.5488563311488025,DD
2018,4,2018_04_BUF_GB-GB,2018_04_CLE_OAK-CLE,0.7452818581366227,0.7434422108808652,1,1,0.25471814186337727,0.25655778911913485,0.06534992332500222,1,0.5540739923424901,DF
2018,4,2018_04_BUF_GB-GB,2018_04_DET_DAL-DET,0.7452818581366227,0.7452818581366227,1,1,0.25471814186337727,0.25471814186337727,0.06488133179433159,1,0.555445048067577,DF
2018,4,2018_04_BUF_GB-GB,2018_04_NYJ_JAX-JAX,0.7452818581366227,0.7592858751269063,1,1,0.25471814186337727,0.24071412487309374,0.0613142546079434,1,0.5658819878714724,FF
2018,4,2018_04_CLE_OAK-CLE,2018_04_DET_DAL-DET,0.7434422108808652,0.7452818581366227,1,1,0.25655778911913485,0.25471814186337727,0.06534992332500222,1,0.5540739923424901,DD
2018,4,2018_04_CLE_OAK-CLE,2018_04_NYJ_JAX-JAX,0.7434422108808652,0.7592858751269063,1,1,0.25655778911913485,0.24071412487309374,0.061757083687188276,1,0.5644851696949597,DF
2018,4,2018_04_DET_DAL-DET,2018_04_NYJ_JAX-JAX,0.7452818581366227,0.7592858751269063,1,1,0.25471814186337727,0.24071412487309374,0.0613142546079434,1,0.5658819878714724,DF
2018,6,2018_06_BAL_TEN-TEN,2018_06_CHI_MIA-CHI,0.7471593818727904,0.7592858751269063,0,0,-0.7471593818727904,-0.7592858751269063,0.56730756512456,0,0.56730756512456,DF
2018,6,2018_06_BAL_TEN-TEN,2018_06_PHI_NYG-NYG,0.7471593818727904,0.7398722507822,0,0,-0.7471593818727904,-0.7398722507822,0.5528024935592587,0,0.5528024935592587,DD
2018,6,2018_06_CHI_MIA-CHI,2018_06_PHI_NYG-NYG,0.7592858751269063,0.7398722507822,0,0,-0.7592858751269063,-0.7398722507822,0.5617745494172766,0,0.5617745494172766,DF
2018,8,2018_08_BAL_CAR-CAR,2018_08_MIA_HOU-HOU,0.7452818581366227,0.7416393567181148,1,1,0.25471814186337727,0.25836064328188524,0.06580914298738866,1,0.5527303578421261,DF
2018,8,2018_08_BAL_CAR-CAR,2018_08_NYJ_CHI-CHI,0.7452818581366227,0.7510325947045215,1,1,0.25471814186337727,0.24896740529547845,0.06341651486141063,1,0.5597309677025549,DF
2018,8,2018_08_BAL_CAR-CAR,2018_08_SF_ARI-ARI,0.7452818581366227,0.7614624612740131,1,1,0.25471814186337727,0.23853753872598693,0.06075983862894679,1,0.5675041580395825,DD
2018,8,2018_08_MIA_HOU-HOU,2018_08_NYJ_CHI-CHI,0.7416393567181148,0.7510325947045215,1,1,0.25836064328188524,0.24896740529547845,0.06432337898836166,1,0.5569953304109979,FF
2018,8,2018_08_MIA_HOU-HOU,2018_08_SF_ARI-ARI,0.7416393567181148,0.7614624612740131,1,1,0.25836064328188524,0.23853753872598693,0.0616287119521236,1,0.5647305299442514,DF
2018,8,2018_08_NYJ_CHI-CHI,2018_08_SF_ARI-ARI,0.7510325947045215,0.7614624612740131,1,1,0.24896740529547845,0.23853753872598693,0.059388072082178674,1,0.5718831280607133,DF
2018,9,2018_09_ATL_WAS-ATL,2018_09_OAK_SF-SF,0.7364412874896358,0.7452818581366227,1,1,0.2635587125103642,0.25471814186337727,0.06713318552254402,1,0.5488563311488025,DD
2018,9,2018_09_ATL_WAS-ATL,2018_09_PIT_BAL-PIT,0.7364412874896358,0.734775519361947,1,1,0.2635587125103642,0.26522448063805304,0.06990222264319529,1,0.541119029494778,DD
2018,9,2018_09_OAK_SF-SF,2018_09_PIT_BAL-PIT,0.7452818581366227,0.734775519361947,1,1,0.25471814186337727,0.26522448063805304,0.06755748688480415,1,0.5476148643833738,DD
2018,10,2018_10_DAL_PHI-PHI,2018_10_DET_CHI-CHI,0.7398722507822,0.7434422108808652,0,1,-0.7398722507822,0.25655778911913485,-0.18981998889127932,0,0.5500522618909207,FF
2018,11,2018_11_DEN_LAC-LAC,2018_11_MIN_CHI-MIN,0.734775519361947,0.7452818581366227,0,1,-0.734775519361947,0.25471814186337727,-0.18716065497857312,0,0.5476148643833738,DF
2018,15,2018_15_DET_BUF-DET,2018_15_MIA_MIN-MIN,0.7614624612740131,0.7416393567181148,1,1,0.23853753872598693,0.25836064328188524,0.0616287119521236,1,0.5647305299442514,DF
2018,15,2018_15_DET_BUF-DET,2018_15_TB_BAL-BAL,0.7614624612740131,0.7434422108808652,1,1,0.23853753872598693,0.25655778911913485,0.06119866355745922,1,0.5661033357123374,DF
2018,15,2018_15_DET_BUF-DET,2018_15_TEN_NYG-NYG,0.7614624612740131,0.7530306580593271,1,0,0.23853753872598693,-0.7530306580593271,-0.17962607975868217,0,0.573404578300645,DD
2018,15,2018_15_DET_BUF-DET,2018_15_WAS_JAX-JAX,0.7614624612740131,0.7807426392460279,1,0,0.23853753872598693,-0.7807426392460279,-0.18623642754417863,0,0.5945062117018493,DF
2018,15,2018_15_MIA_MIN-MIN,2018_15_TB_BAL-BAL,0.7416393567181148,0.7434422108808652,1,1,0.25836064328188524,0.25655778911913485,0.06628443543579794,1,0.5513660030347779,FF
2018,15,2018_15_MIA_MIN-MIN,2018_15_TEN_NYG-NYG,0.7416393567181148,0.7530306580593271,1,0,0.25836064328188524,-0.7530306580593271,-0.1945534852271891,0,0.558477172832138,DF
2018,15,2018_15_MIA_MIN-MIN,2018_15_WAS_JAX-JAX,0.7416393567181148,0.7807426392460279,1,0,0.25836064328188524,-0.7807426392460279,-0.20171317051320065,0,0.5790294687328273,FF
2018,15,2018_15_TB_BAL-BAL,2018_15_TEN_NYG-NYG,0.7434422108808652,0.7530306580593271,1,0,0.25655778911913485,-0.7530306580593271,-0.1931958807706282,0,0.5598347772886989,DF
2018,15,2018_15_TB_BAL-BAL,2018_15_WAS_JAX-JAX,0.7434422108808652,0.7807426392460279,1,0,0.25655778911913485,-0.7807426392460279,-0.2003056053959992,0,0.5804370338500288,FF
2018,15,2018_15_TEN_NYG-NYG,2018_15_WAS_JAX-JAX,0.7530306580593271,0.7807426392460279,0,0,-0.7530306580593271,-0.7807426392460279,0.5879231434064123,0,0.5879231434064123,DF
2018,16,2018_16_ATL_CAR-CAR,2018_16_DEN_OAK-OAK,0.7364412874896358,0.7510325947045215,0,1,-0.7364412874896358,0.24896740529547845,-0.18334987649875611,0,0.5530914109908797,DD
2018,17,2018_17_DAL_NYG-NYG,2018_17_DET_GB-GB,0.7682871529359228,0.7434422108808652,0,0,-0.7682871529359228,-0.7434422108808652,0.5711770995700478,0,0.5711770995700478,FF
2019,1,2019_01_BUF_NYJ-BUF,2019_01_DET_ARI-ARI,0.7571559720637167,0.7398722507822,1,1,0.24284402793628335,0.2601277492178,0.06317047039804993,1,0.5601986932439665,DD
2019,3,2019_03_CAR_ARI-CAR,2019_03_OAK_MIN-MIN,0.738139885177199,0.7490759056139629,1,1,0.261860114822801,0.25092409438603713,0.06570701216773504,1,0.5529228029588968,DF
2019,3,2019_03_CAR_ARI-CAR,2019_03_TEN_JAX-JAX,0.738139885177199,0.7706655928711172,1,1,0.261860114822801,0.22933440712888276,0.060053534183588234,1,0.5688590122319045,DD
2019,3,2019_03_OAK_MIN-MIN,2019_03_TEN_JAX-JAX,0.7490759056139629,0.7706655928711172,1,1,0.25092409438603713,0.22933440712888276,0.057545528420373644,1,0.5772870269054537,DF
2019,4,2019_04_CLE_BAL-BAL,2019_04_DAL_NO-NO,0.734775519361947,0.734775519361947,0,1,-0.734775519361947,0.26522448063805304,-0.19488045550832805,0,0.5398950638536189,DF
2019,4,2019_04_CLE_BAL-BAL,2019_04_JAX_DEN-JAX,0.734775519361947,0.7755878446841711,0,1,-0.734775519361947,0.22441215531582892,-0.1648925579733221,0,0.5698829613886248,DF
2019,4,2019_04_DAL_NO-NO,2019_04_JAX_DEN-JAX,0.734775519361947,0.7755878446841711,1,1,0.26522448063805304,0.22441215531582892,0.05951959734250682,1,0.5698829613886248,DD
2019,7,2019_07_HOU_IND-HOU,2019_07_MIN_DET-DET,0.7364412874896358,0.7471593818727904,1,0,0.2635587125103642,-0.7471593818727904,-0.1969203647264322,0,0.5502390171463583,DD
2019,11,2019_11_DAL_DET-DAL,2019_11_JAX_IND-JAX,0.7364412874896358,0.7550713499837194,1,0,0.2635587125103642,-0.7550713499837194,-0.1990056328551717,0,0.5560657171285477,DF
2019,13,2019_13_LA_ARI-ARI,2019_13_NYJ_CIN-CIN,0.734775519361947,0.7490759056139629,0,1,-0.734775519361947,0.25092409438603713,-0.18437288177292663,0,0.5504026375890203,DD
2019,16,2019_16_CAR_IND-IND,2019_16_CIN_MIA-MIA,0.738139885177199,0.738139885177199,1,1,0.261860114822801,0.261860114822801,0.06857071973501054,1,0.5448504900894084,DF
2019,16,2019_16_CAR_IND-IND,2019_16_OAK_LAC-LAC,0.738139885177199,0.7416393567181148,1,0,0.261860114822801,-0.7416393567181148,-0.19420576710731383,0,0.5474335896108009,FF
2019,16,2019_16_CIN_MIA-MIA,2019_16_OAK_LAC-LAC,0.738139885177199,0.7416393567181148,1,0,0.261860114822801,-0.7416393567181148,-0.19420576710731383,0,0.5474335896108009,DF
2019,17,2019_17_CLE_CIN-CIN,2019_17_NYJ_BUF-BUF,0.7452818581366227,0.7755878446841711,1,1,0.25471814186337727,0.22441215531582892,0.05716184721360357,1,0.5780315500343973,DD
2020,1,2020_01_CHI_DET-CHI,2020_01_LAC_CIN-CIN,0.7510325947045215,0.7550713499837194,1,1,0.24896740529547845,0.2449286500162806,0.06097925047707773,1,0.5670831951653187,DD
2020,1,2020_01_CHI_DET-CHI,2020_01_MIA_NE-NE,0.7510325947045215,0.7550713499837194,1,1,0.24896740529547845,0.2449286500162806,0.06097925047707773,1,0.5670831951653187,DF
2020,1,2020_01_LAC_CIN-CIN,2020_01_MIA_NE-NE,0.7550713499837194,0.7550713499837194,1,1,0.2449286500162806,0.2449286500162806,0.05999004359879768,1,0.5701327435662364,DF
2020,2,2020_02_CAR_TB-TB,2020_02_KC_LAC-KC,0.734775519361947,0.734775519361947,1,1,0.26522448063805304,0.26522448063805304,0.07034402512972497,1,0.5398950638536189,FF
2020,2,2020_02_CAR_TB-TB,2020_02_WAS_ARI-ARI,0.734775519361947,0.7364412874896358,1,1,0.26522448063805304,0.2635587125103642,0.06990222264319529,1,0.541119029494778,FF
2020,2,2020_02_KC_LAC-KC,2020_02_WAS_ARI-ARI,0.734775519361947,0.7364412874896358,1,1,0.26522448063805304,0.2635587125103642,0.06990222264319529,1,0.541119029494778,FF
2020,3,2020_03_CHI_ATL-CHI,2020_03_LA_BUF-LA,0.738139885177199,0.7364412874896358,1,1,0.261860114822801,0.2635587125103642,0.06901551472051358,1,0.5435966873873483,DD
2020,3,2020_03_CHI_ATL-CHI,2020_03_WAS_CLE-CLE,0.738139885177199,0.7416393567181148,1,1,0.261860114822801,0.25836064328188524,0.0676543477154872,1,0.5474335896108009,DF
2020,3,2020_03_LA_BUF-LA,2020_03_WAS_CLE-CLE,0.7364412874896358,0.7416393567181148,1,1,0.2635587125103642,0.25836064328188524,0.06809319850672316,1,0.5461738427144737,DF
2020,4,2020_04_LAC_TB-TB,2020_04_PHI_SF-SF,0.7510325947045215,0.7398722507822,1,0,0.24896740529547845,-0.7398722507822,-0.18420407452736987,0,0.5556681762548301,FF
