leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2025_01_ARI_NO-ARI,2025,1,REG,2025-09-07,2025_01_ARI_NO,NFL,ARI,NO,away,-6.0,-6.0,0.0,44.5,SECONDARY,PAPER,-6.0,whole_number_line,1,0.6734422108808652,0.04,0.7134422108808652,True,7,13,20,WIN,1.0,7.0,43.5-45,70-71.9%,archived_reference_line
2025_01_ARI_NO-NO,2025,1,REG,2025-09-07,2025_01_ARI_NO,NFL,NO,ARI,home,6.0,-6.0,12.0,44.5,SECONDARY,PAPER,6.0,whole_number_line,1,0.6734422108808652,0.04,0.7134422108808652,True,-7,13,20,WIN,1.0,5.0,43.5-45,70-71.9%,archived_reference_line
2025_01_BAL_BUF-BAL,2025,1,REG,2025-09-07,2025_01_BAL_BUF,NFL,BAL,BUF,away,-1.5,-1.5,4.5,50.5,SECONDARY,PAPER,-1.5,other_half_point_shape,1,0.6539620939680577,0.04,0.6939620939680577,False,-1,41,40,WIN,1.0,3.5,out-of-range,<70%,archived_reference_line
2025_01_BAL_BUF-BUF,2025,1,REG,2025-09-07,2025_01_BAL_BUF,NFL,BUF,BAL,home,1.5,-1.5,7.5,50.5,PRIMARY,LIVE,+1.5,,2,0.6539620939680577,0.07,0.7239620939680578,False,1,41,40,WIN,1.0,8.5,out-of-range,72-73.9%,archived_reference_line
2025_01_CAR_JAX-CAR,2025,1,REG,2025-09-07,2025_01_CAR_JAX,NFL,CAR,JAX,away,4.5,4.5,10.5,45.5,SECONDARY,PAPER,4.5,other_half_point_shape,1,0.6698722507821999,0.04,0.7098722507822,True,-16,26,10,LOSS,0.0,-5.5,45.5-47,70-71.9%,archived_reference_line
2025_01_CAR_JAX-JAX,2025,1,REG,2025-09-07,2025_01_CAR_JAX,NFL,JAX,CAR,home,-4.5,4.5,1.5,45.5,SECONDARY,PAPER,-4.5,other_half_point_shape,1,0.6698722507821999,0.04,0.7098722507822,True,16,26,10,WIN,1.0,17.5,45.5-47,70-71.9%,archived_reference_line
2025_01_CIN_CLE-CIN,2025,1,REG,2025-09-07,2025_01_CIN_CLE,NFL,CIN,CLE,away,-5.5,-5.5,0.5,47.5,SECONDARY,PAPER,-5.5,other_half_point_shape,1,0.6631416751252381,0.04,0.7031416751252382,False,1,16,17,WIN,1.0,1.5,out-of-range,70-71.9%,archived_reference_line
2025_01_CIN_CLE-CLE,2025,1,REG,2025-09-07,2025_01_CIN_CLE,NFL,CLE,CIN,home,5.5,-5.5,11.5,47.5,SECONDARY,PAPER,5.5,other_half_point_shape,1,0.6631416751252381,0.04,0.7031416751252382,False,-1,16,17,WIN,1.0,10.5,out-of-range,70-71.9%,archived_reference_line
2025_01_DAL_PHI-DAL,2025,1,REG,2025-09-04,2025_01_DAL_PHI,NFL,DAL,PHI,away,8.5,8.5,14.5,47.5,SECONDARY,PAPER,8.5,other_half_point_shape,0,0.6631416751252381,0.0,0.6631416751252381,False,-4,24,20,WIN,1.0,10.5,out-of-range,<70%,archived_reference_line
2025_01_DAL_PHI-PHI,2025,1,REG,2025-09-04,2025_01_DAL_PHI,NFL,PHI,DAL,home,-8.5,8.5,-2.5,47.5,PRIMARY,LIVE,-8.5,,2,0.6631416751252381,0.07,0.7331416751252382,False,4,24,20,WIN,1.0,1.5,out-of-range,72-73.9%,archived_reference_line
2025_01_DET_GB-DET,2025,1,REG,2025-09-07,2025_01_DET_GB,NFL,DET,GB,away,1.5,1.5,7.5,48.5,PRIMARY,LIVE,+1.5,,2,0.6599662912879087,0.07,0.7299662912879088,False,-14,27,13,LOSS,0.0,-6.5,out-of-range,72-73.9%,archived_reference_line
2025_01_DET_GB-GB,2025,1,REG,2025-09-07,2025_01_DET_GB,NFL,GB,DET,home,-1.5,1.5,4.5,48.5,SECONDARY,PAPER,-1.5,other_half_point_shape,1,0.6599662912879087,0.04,0.6999662912879088,False,14,27,13,WIN,1.0,18.5,out-of-range,<70%,archived_reference_line
2025_01_HOU_LA-HOU,2025,1,REG,2025-09-07,2025_01_HOU_LA,NFL,HOU,LA,away,3.5,3.5,9.5,43.5,SECONDARY,PAPER,3.5,other_half_point_shape,1,0.6771593818727903,0.04,0.7171593818727904,True,-5,14,9,WIN,1.0,4.5,43.5-45,70-71.9%,archived_reference_line
2025_01_HOU_LA-LA,2025,1,REG,2025-09-07,2025_01_HOU_LA,NFL,LA,HOU,home,-3.5,3.5,2.5,43.5,SECONDARY,PAPER,-3.5,other_half_point_shape,1,0.6771593818727903,0.04,0.7171593818727904,True,5,14,9,WIN,1.0,7.5,43.5-45,70-71.9%,archived_reference_line
2025_01_KC_LAC-KC,2025,1,REG,2025-09-05,2025_01_KC_LAC,NFL,KC,LAC,away,-3.0,-3.0,3.0,47.5,SECONDARY,PAPER,-3.0,whole_number_line,1,0.6631416751252381,0.04,0.7031416751252382,False,-6,27,21,LOSS,0.0,-3.0,out-of-range,70-71.9%,archived_reference_line
2025_01_KC_LAC-LAC,2025,1,REG,2025-09-05,2025_01_KC_LAC,NFL,LAC,KC,home,3.0,-3.0,9.0,47.5,SECONDARY,PAPER,3.0,whole_number_line,2,0.6631416751252381,0.07,0.7331416751252382,False,6,27,21,WIN,1.0,15.0,out-of-range,72-73.9%,archived_reference_line
2025_01_LV_NE-LV,2025,1,REG,2025-09-07,2025_01_LV_NE,NFL,LV,NE,away,2.5,2.5,8.5,44.5,PRIMARY,LIVE,+2.5,,2,0.6734422108808652,0.07,0.7434422108808652,True,7,13,20,WIN,1.0,15.5,43.5-45,>=74%,archived_reference_line
