season,week,n_legs,leg_ids,teams,shapes,game_ids,predicted_p_ticket,outcome,won,n_legs_winning,same_game_legs,fair_profit,fair_decimal_odds,fair_american_odds,break_even_probability,block
2018,6,2,2018_06_BAL_TEN-TEN|2018_06_PHI_NYG-NYG,TEN|NYG,+2.5|+1.5,2018_06_BAL_TEN|2018_06_PHI_NYG,0.5528024935592587,LOSS,0,0,False,0.8089643437775179,1.808964343777518,-123.61484256900955,0.5528024935592587,2018-2023 validation
2018,6,3,2018_06_CHI_MIA-CHI|2018_06_BAL_TEN-TEN|2018_06_PHI_NYG-NYG,CHI|TEN|NYG,-7.5|+2.5|+1.5,2018_06_CHI_MIA|2018_06_BAL_TEN|2018_06_PHI_NYG,0.41973512509447775,LOSS,0,0,False,1.3824548869359243,2.3824548869359243,138.24548869359242,0.41973512509447775,2018-2023 validation
2018,8,2,2018_08_SF_ARI-ARI|2018_08_NYJ_CHI-CHI,ARI|CHI,+2.5|-8.5,2018_08_SF_ARI|2018_08_NYJ_CHI,0.5718831280607133,WIN,1,2,False,0.7486090267972308,1.7486090267972307,-133.58107693121116,0.5718831280607133,2018-2023 validation
2018,8,2,2018_08_SF_ARI-ARI|2018_08_BAL_CAR-CAR,ARI|CAR,+2.5|+2.5,2018_08_SF_ARI|2018_08_BAL_CAR,0.5675041580395825,WIN,1,2,False,0.7621016266285251,1.762101626628525,-131.21609573567213,0.5675041580395825,2018-2023 validation
2018,8,2,2018_08_SF_ARI-ARI|2018_08_MIA_HOU-HOU,ARI|HOU,+2.5|-7.5,2018_08_SF_ARI|2018_08_MIA_HOU,0.5647305299442514,WIN,1,2,False,0.7707560455403697,1.7707560455403697,-129.74273841717448,0.5647305299442514,2018-2023 validation
2018,8,2,2018_08_NYJ_CHI-CHI|2018_08_BAL_CAR-CAR,CHI|CAR,-8.5|+2.5,2018_08_NYJ_CHI|2018_08_BAL_CAR,0.5597309677025549,WIN,1,2,False,0.7865725816539192,1.7865725816539193,-127.1338492243537,0.5597309677025549,2018-2023 validation
2018,8,2,2018_08_NYJ_CHI-CHI|2018_08_MIA_HOU-HOU,CHI|HOU,-8.5|-7.5,2018_08_NYJ_CHI|2018_08_MIA_HOU,0.5569953304109979,WIN,1,2,False,0.7953471876723205,1.7953471876723204,-125.73125491606008,0.5569953304109979,2018-2023 validation
2018,8,2,2018_08_BAL_CAR-CAR|2018_08_MIA_HOU-HOU,CAR|HOU,+2.5|-7.5,2018_08_BAL_CAR|2018_08_MIA_HOU,0.5527303578421261,WIN,1,2,False,0.8092004280423938,1.8092004280423937,-123.57877793258042,0.5527303578421261,2018-2023 validation
2018,8,3,2018_08_SF_ARI-ARI|2018_08_NYJ_CHI-CHI|2018_08_BAL_CAR-CAR,ARI|CHI|CAR,+2.5|-8.5|+2.5,2018_08_SF_ARI|2018_08_NYJ_CHI|2018_08_BAL_CAR,0.4262141203180726,WIN,1,3,False,1.3462385508338528,2.346238550833853,134.62385508338528,0.4262141203180726,2018-2023 validation
2018,8,3,2018_08_SF_ARI-ARI|2018_08_NYJ_CHI-CHI|2018_08_MIA_HOU-HOU,ARI|CHI|HOU,+2.5|-8.5|-7.5,2018_08_SF_ARI|2018_08_NYJ_CHI|2018_08_MIA_HOU,0.42413103521289064,WIN,1,3,False,1.3577619107690493,2.3577619107690495,135.77619107690492,0.42413103521289064,2018-2023 validation
2018,8,3,2018_08_SF_ARI-ARI|2018_08_BAL_CAR-CAR|2018_08_MIA_HOU-HOU,ARI|CAR|HOU,+2.5|+2.5|-7.5,2018_08_SF_ARI|2018_08_BAL_CAR|2018_08_MIA_HOU,0.42088341870333135,WIN,1,3,False,1.375954850112238,2.375954850112238,137.59548501122381,0.42088341870333135,2018-2023 validation
2018,8,3,2018_08_NYJ_CHI-CHI|2018_08_BAL_CAR-CAR|2018_08_MIA_HOU-HOU,CHI|CAR|HOU,-8.5|+2.5|-7.5,2018_08_NYJ_CHI|2018_08_BAL_CAR|2018_08_MIA_HOU,0.4151185148221307,WIN,1,3,False,1.40895061119709,2.40895061119709,140.895061119709,0.41511851482213064,2018-2023 validation
2018,9,2,2018_09_OAK_SF-SF|2018_09_ATL_WAS-ATL,SF|ATL,+1.5|+1.5,2018_09_OAK_SF|2018_09_ATL_WAS,0.5488563311488025,WIN,1,2,False,0.8219704196668659,1.821970419666866,-121.65887920945953,0.5488563311488025,2018-2023 validation
2018,9,2,2018_09_OAK_SF-SF|2018_09_PIT_BAL-PIT,SF|PIT,+1.5|+1.5,2018_09_OAK_SF|2018_09_PIT_BAL,0.5476148643833738,WIN,1,2,False,0.8261009060190899,1.8261009060190898,-121.05058749044532,0.5476148643833738,2018-2023 validation
2018,9,2,2018_09_ATL_WAS-ATL|2018_09_PIT_BAL-PIT,ATL|PIT,+1.5|+1.5,2018_09_ATL_WAS|2018_09_PIT_BAL,0.541119029494778,WIN,1,2,False,0.8480222381638686,1.8480222381638685,-117.92143590068964,0.541119029494778,2018-2023 validation
2018,9,3,2018_09_OAK_SF-SF|2018_09_ATL_WAS-ATL|2018_09_PIT_BAL-PIT,SF|ATL|PIT,+1.5|+1.5|+1.5,2018_09_OAK_SF|2018_09_ATL_WAS|2018_09_PIT_BAL,0.4032861957749541,WIN,1,3,False,1.4796286371230774,2.4796286371230774,147.96286371230772,0.4032861957749541,2018-2023 validation
2018,10,2,2018_10_DET_CHI-CHI|2018_10_DAL_PHI-PHI,CHI|PHI,-7.5|-7.5,2018_10_DET_CHI|2018_10_DAL_PHI,0.5500522618909207,LOSS,0,1,False,0.8180090680152627,1.8180090680152627,-122.24803356108292,0.5500522618909207,2018-2023 validation
2018,11,2,2018_11_MIN_CHI-MIN|2018_11_DEN_LAC-LAC,MIN|LAC,+2.5|-7.5,2018_11_MIN_CHI|2018_11_DEN_LAC,0.5476148643833738,LOSS,0,1,False,0.8261009060190899,1.8261009060190898,-121.05058749044532,0.5476148643833738,2018-2023 validation
2018,15,2,2018_15_WAS_JAX-JAX|2018_15_DET_BUF-DET,JAX|DET,-7.5|+2.5,2018_15_WAS_JAX|2018_15_DET_BUF,0.5945062117018493,LOSS,0,1,False,0.682068211091308,1.682068211091308,-146.61290230782075,0.5945062117018493,2018-2023 validation
2018,15,2,2018_15_WAS_JAX-JAX|2018_15_TEN_NYG-NYG,JAX|NYG,-7.5|+2.5,2018_15_WAS_JAX|2018_15_TEN_NYG,0.5879231434064123,LOSS,0,0,False,0.7009025945228564,1.7009025945228564,-142.67317710255531,0.5879231434064123,2018-2023 validation
2018,15,2,2018_15_WAS_JAX-JAX|2018_15_TB_BAL-BAL,JAX|BAL,-7.5|-8.5,2018_15_WAS_JAX|2018_15_TB_BAL,0.5804370338500288,LOSS,0,1,False,0.722839759839267,1.722839759839267,-138.3432477790601,0.5804370338500288,2018-2023 validation
2018,15,2,2018_15_DET_BUF-DET|2018_15_TEN_NYG-NYG,DET|NYG,+2.5|+2.5,2018_15_DET_BUF|2018_15_TEN_NYG,0.573404578300645,LOSS,0,1,False,0.7439693330730338,1.743969333073034,-134.41414256544795,0.573404578300645,2018-2023 validation
2018,15,2,2018_15_DET_BUF-DET|2018_15_TB_BAL-BAL,DET|BAL,+2.5|-8.5,2018_15_DET_BUF|2018_15_TB_BAL,0.5661033357123374,WIN,1,2,False,0.7664619459302127,1.7664619459302127,-130.46962152652668,0.5661033357123374,2018-2023 validation
2018,15,2,2018_15_TEN_NYG-NYG|2018_15_TB_BAL-BAL,NYG|BAL,+2.5|-8.5,2018_15_TEN_NYG|2018_15_TB_BAL,0.5598347772886989,LOSS,0,1,False,0.7862412993402054,1.7862412993402055,-127.18741699770487,0.5598347772886989,2018-2023 validation
2018,15,3,2018_15_WAS_JAX-JAX|2018_15_DET_BUF-DET|2018_15_TEN_NYG-NYG,JAX|DET|NYG,-7.5|+2.5|+2.5,2018_15_WAS_JAX|2018_15_DET_BUF|2018_15_TEN_NYG,0.4476814038182012,LOSS,0,1,False,1.233731380109078,2.233731380109078,123.3731380109078,0.44768140381820115,2018-2023 validation
