leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2022_01_CLE_CAR-CLE,2022,1,REG,2022-09-11,2022_01_CLE_CAR,NFL,CLE,CAR,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,2,24,26,WIN,1.0,10.5,40.5-43,>=74%,archived_reference_line
2022_01_GB_MIN-GB,2022,1,REG,2022-09-11,2022_01_GB_MIN,NFL,GB,MIN,away,2.5,2.5,8.5,47.0,PRIMARY,LIVE,+2.5,DOG,,2,0.664775519361947,0.07,0.734775519361947,True,-16,23,7,LOSS,0.0,-7.5,45.5-47,72-73.9%,archived_reference_line
2022_01_PIT_CIN-CIN,2022,1,REG,2022-09-11,2022_01_PIT_CIN,NFL,CIN,PIT,home,-7.5,7.5,-1.5,44.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,-3,20,23,LOSS,0.0,-4.5,43.5-45,>=74%,archived_reference_line
2022_02_CIN_DAL-CIN,2022,2,REG,2022-09-18,2022_02_CIN_DAL,NFL,CIN,DAL,away,-7.5,-7.5,-1.5,42.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6830306580593271,0.07,0.7530306580593271,True,-3,20,17,LOSS,0.0,-4.5,40.5-43,>=74%,archived_reference_line
2022_02_SEA_SF-SF,2022,2,REG,2022-09-18,2022_02_SEA_SF,NFL,SF,SEA,home,-8.5,8.5,-2.5,40.0,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6914624612740131,0.07,0.7614624612740131,True,20,27,7,WIN,1.0,17.5,<=40,>=74%,archived_reference_line
2022_02_TB_NO-NO,2022,2,REG,2022-09-18,2022_02_TB_NO,NFL,NO,TB,home,2.5,-2.5,8.5,44.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6752818581366227,0.07,0.7452818581366227,True,-10,10,20,LOSS,0.0,-1.5,43.5-45,>=74%,archived_reference_line
2022_03_BAL_NE-NE,2022,3,REG,2022-09-25,2022_03_BAL_NE,NFL,NE,BAL,home,2.5,-2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-11,26,37,LOSS,0.0,-2.5,45.5-47,72-73.9%,archived_reference_line
2022_03_LV_TEN-TEN,2022,3,REG,2022-09-25,2022_03_LV_TEN,NFL,TEN,LV,home,1.5,-1.5,7.5,45.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,2,24,22,WIN,1.0,9.5,45.5-47,72-73.9%,archived_reference_line
2022_04_DEN_LV-DEN,2022,4,REG,2022-10-02,2022_04_DEN_LV,NFL,DEN,LV,away,2.5,2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-9,32,23,LOSS,0.0,-0.5,45.5-47,72-73.9%,archived_reference_line
2022_05_NYG_GB-GB,2022,5,REG,2022-10-09,2022_05_NYG_GB,NFL,GB,NYG,home,-8.5,8.5,-2.5,42.0,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6830306580593271,0.07,0.7530306580593271,True,-5,22,27,LOSS,0.0,-7.5,40.5-43,>=74%,archived_reference_line
2022_06_NE_CLE-NE,2022,6,REG,2022-10-16,2022_06_NE_CLE,NFL,NE,CLE,away,2.5,2.5,8.5,43.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6790759056139628,0.07,0.7490759056139629,True,23,15,38,WIN,1.0,31.5,40.5-43,>=74%,archived_reference_line
2022_06_NYJ_GB-GB,2022,6,REG,2022-10-16,2022_06_NYJ_GB,NFL,GB,NYJ,home,-7.5,7.5,-1.5,44.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,-17,10,27,LOSS,0.0,-18.5,43.5-45,>=74%,archived_reference_line
