leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance
2020_01_CHI_DET-CHI,2020,1,REG,2020-09-13,2020_01_CHI_DET,NFL,CHI,DET,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,4,23,27,WIN,1.0,12.5,40.5-43,>=74%,archived_reference_line
2020_01_LAC_CIN-CIN,2020,1,REG,2020-09-13,2020_01_LAC_CIN,NFL,CIN,LAC,home,2.5,-2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,-3,13,16,WIN,1.0,5.5,40.5-43,>=74%,archived_reference_line
2020_01_MIA_NE-NE,2020,1,REG,2020-09-13,2020_01_MIA_NE,NFL,NE,MIA,home,-7.5,7.5,-1.5,41.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,10,21,11,WIN,1.0,8.5,40.5-43,>=74%,archived_reference_line
2020_02_CAR_TB-TB,2020,2,REG,2020-09-20,2020_02_CAR_TB,NFL,TB,CAR,home,-7.5,7.5,-1.5,47.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,14,31,17,WIN,1.0,12.5,45.5-47,72-73.9%,archived_reference_line
2020_02_KC_LAC-KC,2020,2,REG,2020-09-20,2020_02_KC_LAC,NFL,KC,LAC,away,-8.5,-8.5,-2.5,47.0,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,3,20,23,WIN,1.0,0.5,45.5-47,72-73.9%,archived_reference_line
2020_02_WAS_ARI-ARI,2020,2,REG,2020-09-20,2020_02_WAS_ARI,NFL,ARI,WAS,home,-7.5,7.5,-1.5,46.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,15,30,15,WIN,1.0,13.5,45.5-47,72-73.9%,archived_reference_line
2020_03_CHI_ATL-CHI,2020,3,REG,2020-09-27,2020_03_CHI_ATL,NFL,CHI,ATL,away,2.5,2.5,8.5,46.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,4,26,30,WIN,1.0,12.5,45.5-47,72-73.9%,archived_reference_line
2020_03_LA_BUF-LA,2020,3,REG,2020-09-27,2020_03_LA_BUF,NFL,LA,BUF,away,1.5,1.5,7.5,46.5,PRIMARY,LIVE,+1.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-3,35,32,WIN,1.0,4.5,45.5-47,72-73.9%,archived_reference_line
2020_03_WAS_CLE-CLE,2020,3,REG,2020-09-27,2020_03_WAS_CLE,NFL,CLE,WAS,home,-7.5,7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,14,34,20,WIN,1.0,12.5,43.5-45,>=74%,archived_reference_line
2020_04_LAC_TB-TB,2020,4,REG,2020-10-04,2020_04_LAC_TB,NFL,TB,LAC,home,-7.5,7.5,-1.5,42.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6810325947045215,0.07,0.7510325947045215,True,7,38,31,WIN,1.0,5.5,40.5-43,>=74%,archived_reference_line
