season,week,n_legs,leg_ids,teams,shapes,game_ids,predicted_p_ticket,outcome,won,n_legs_winning,same_game_legs
2023,1,2,2023_01_SF_PIT-PIT|2023_01_BUF_NYJ-NYJ,PIT|NYJ,+1.5|+2.5,2023_01_SF_PIT|2023_01_BUF_NYJ,0.5613519138046958,LOSS,0,1,False
2023,2,2,2023_02_NYJ_DAL-DAL|2023_02_CLE_PIT-PIT,DAL|PIT,-8.5|+2.5,2023_02_NYJ_DAL|2023_02_CLE_PIT,0.5884784263959203,WIN,1,2,False
2023,2,2,2023_02_NYJ_DAL-DAL|2023_02_CHI_TB-CHI,DAL|CHI,-8.5|+2.5,2023_02_NYJ_DAL|2023_02_CHI_TB,0.5817132061052639,LOSS,0,1,False
2023,2,2,2023_02_NYJ_DAL-DAL|2023_02_SF_LA-SF,DAL|SF,-8.5|-7.5,2023_02_NYJ_DAL|2023_02_SF_LA,0.5697919898781896,WIN,1,2,False
2023,2,2,2023_02_CLE_PIT-PIT|2023_02_CHI_TB-CHI,PIT|CHI,+2.5|+2.5,2023_02_CLE_PIT|2023_02_CHI_TB,0.5799523697274307,LOSS,0,1,False
2023,2,2,2023_02_CLE_PIT-PIT|2023_02_SF_LA-SF,PIT|SF,+2.5|-7.5,2023_02_CLE_PIT|2023_02_SF_LA,0.5680672388272501,WIN,1,2,False
2023,2,2,2023_02_CHI_TB-CHI|2023_02_SF_LA-SF,CHI|SF,+2.5|-7.5,2023_02_CHI_TB|2023_02_SF_LA,0.5615366680566137,LOSS,0,1,False
2023,2,3,2023_02_NYJ_DAL-DAL|2023_02_CLE_PIT-PIT|2023_02_CHI_TB-CHI,DAL|PIT|CHI,-8.5|+2.5|+2.5,2023_02_NYJ_DAL|2023_02_CLE_PIT|2023_02_CHI_TB,0.44556995497632934,LOSS,0,2,False
2023,2,3,2023_02_NYJ_DAL-DAL|2023_02_CLE_PIT-PIT|2023_02_SF_LA-SF,DAL|PIT|SF,-8.5|+2.5|-7.5,2023_02_NYJ_DAL|2023_02_CLE_PIT|2023_02_SF_LA,0.43643876159475875,WIN,1,3,False
2023,2,3,2023_02_NYJ_DAL-DAL|2023_02_CHI_TB-CHI|2023_02_SF_LA-SF,DAL|CHI|SF,-8.5|+2.5|-7.5,2023_02_NYJ_DAL|2023_02_CHI_TB|2023_02_SF_LA,0.43142140797034,LOSS,0,2,False
