leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance,rank
2021_01_LAC_WAS-LAC,2021,1,REG,2021-09-12,2021_01_LAC_WAS,NFL,LAC,WAS,away,2.5,2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,4,16,20,WIN,1.0,12.5,45.5-47,72-73.9%,archived_reference_line,1
2021_03_CIN_PIT-CIN,2021,3,REG,2021-09-26,2021_03_CIN_PIT,NFL,CIN,PIT,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,14,10,24,WIN,1.0,22.5,40.5-43,>=74%,archived_reference_line,1
2021_03_CHI_CLE-CLE,2021,3,REG,2021-09-26,2021_03_CHI_CLE,NFL,CLE,CHI,home,-7.5,7.5,-1.5,45.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6716393567181147,0.07,0.7416393567181148,True,20,26,6,WIN,1.0,18.5,43.5-45,>=74%,archived_reference_line,2
2021_03_WAS_BUF-BUF,2021,3,REG,2021-09-26,2021_03_WAS_BUF,NFL,BUF,WAS,home,-7.5,7.5,-1.5,45.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6698722507821999,0.07,0.7398722507822,True,22,43,21,WIN,1.0,20.5,45.5-47,72-73.9%,archived_reference_line,3
2021_04_IND_MIA-IND,2021,4,REG,2021-10-03,2021_04_IND_MIA,NFL,IND,MIA,away,2.5,2.5,8.5,41.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6850713499837193,0.07,0.7550713499837194,True,10,17,27,WIN,1.0,18.5,40.5-43,>=74%,archived_reference_line,1
2021_04_NYG_NO-NO,2021,4,REG,2021-10-03,2021_04_NYG_NO,NFL,NO,NYG,home,-7.5,7.5,-1.5,43.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6790759056139628,0.07,0.7490759056139629,True,-6,21,27,LOSS,0.0,-7.5,40.5-43,>=74%,archived_reference_line,2
2021_04_JAX_CIN-CIN,2021,4,REG,2021-09-30,2021_04_JAX_CIN,NFL,CIN,JAX,home,-7.5,7.5,-1.5,46.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6681398851771989,0.07,0.738139885177199,True,3,24,21,WIN,1.0,1.5,45.5-47,72-73.9%,archived_reference_line,3
2021_05_NO_WAS-WAS,2021,5,REG,2021-10-10,2021_05_NO_WAS,NFL,WAS,NO,home,2.5,-2.5,8.5,43.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6771593818727903,0.07,0.7471593818727904,True,-11,22,33,LOSS,0.0,-2.5,43.5-45,>=74%,archived_reference_line,1
2021_05_PHI_CAR-PHI,2021,5,REG,2021-10-10,2021_05_PHI_CAR,NFL,PHI,CAR,away,2.5,2.5,8.5,46.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,3,18,21,WIN,1.0,11.5,45.5-47,72-73.9%,archived_reference_line,2
2021_05_CLE_LAC-CLE,2021,5,REG,2021-10-10,2021_05_CLE_LAC,NFL,CLE,LAC,away,2.5,2.5,8.5,46.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6664412874896358,0.07,0.7364412874896358,True,-5,47,42,WIN,1.0,3.5,45.5-47,72-73.9%,archived_reference_line,3
2021_05_IND_BAL-BAL,2021,5,REG,2021-10-11,2021_05_IND_BAL,NFL,BAL,IND,home,-7.5,7.5,-1.5,46.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,6,31,25,WIN,1.0,4.5,45.5-47,72-73.9%,archived_reference_line,4
2021_06_MIN_CAR-CAR,2021,6,REG,2021-10-17,2021_06_MIN_CAR,NFL,CAR,MIN,home,2.5,-2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-6,28,34,WIN,1.0,2.5,45.5-47,72-73.9%,archived_reference_line,1
2021_08_CAR_ATL-CAR,2021,8,REG,2021-10-31,2021_08_CAR_ATL,NFL,CAR,ATL,away,2.5,2.5,8.5,47.0,PRIMARY,LIVE,+2.5,DOG,,2,0.664775519361947,0.07,0.734775519361947,True,6,13,19,WIN,1.0,14.5,45.5-47,72-73.9%,archived_reference_line,1
2021_10_CLE_NE-CLE,2021,10,REG,2021-11-14,2021_10_CLE_NE,NFL,CLE,NE,away,2.5,2.5,8.5,45.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6698722507821999,0.07,0.7398722507822,True,-38,45,7,LOSS,0.0,-29.5,45.5-47,72-73.9%,archived_reference_line,1
2021_10_BAL_MIA-BAL,2021,10,REG,2021-11-11,2021_10_BAL_MIA,NFL,BAL,MIA,away,-8.5,-8.5,-2.5,46.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,-12,22,10,LOSS,0.0,-14.5,45.5-47,72-73.9%,archived_reference_line,2
