season,week,n_legs,leg_ids,teams,shapes,game_ids,predicted_p_ticket,outcome,won,n_legs_winning,same_game_legs
2022,1,2,2022_01_CLE_CAR-CLE|2022_01_PIT_CIN-CIN,CLE|CIN,+2.5|-7.5,2022_01_CLE_CAR|2022_01_PIT_CIN,0.5583493326507223,LOSS,0,1,False
2022,1,2,2022_01_CLE_CAR-CLE|2022_01_GB_MIN-GB,CLE|GB,+2.5|+2.5,2022_01_CLE_CAR|2022_01_GB_MIN,0.5518403648317655,LOSS,0,1,False
2022,1,2,2022_01_PIT_CIN-CIN|2022_01_GB_MIN-GB,CIN|GB,-7.5|+2.5,2022_01_PIT_CIN|2022_01_GB_MIN,0.5462631366155818,LOSS,0,0,False
2022,1,3,2022_01_CLE_CAR-CLE|2022_01_PIT_CIN-CIN|2022_01_GB_MIN-GB,CLE|CIN|GB,+2.5|-7.5|+2.5,2022_01_CLE_CAR|2022_01_PIT_CIN|2022_01_GB_MIN,0.41026142088383094,LOSS,0,1,False
2022,2,2,2022_02_SEA_SF-SF|2022_02_CIN_DAL-CIN,SF|CIN,-8.5|-7.5,2022_02_SEA_SF|2022_02_CIN_DAL,0.573404578300645,LOSS,0,1,False
2022,2,2,2022_02_SEA_SF-SF|2022_02_TB_NO-NO,SF|NO,-8.5|+2.5,2022_02_SEA_SF|2022_02_TB_NO,0.5675041580395825,LOSS,0,1,False
2022,2,2,2022_02_CIN_DAL-CIN|2022_02_TB_NO-NO,CIN|NO,-7.5|+2.5,2022_02_CIN_DAL|2022_02_TB_NO,0.5612200880722991,LOSS,0,0,False
2022,2,3,2022_02_SEA_SF-SF|2022_02_CIN_DAL-CIN|2022_02_TB_NO-NO,SF|CIN|NO,-8.5|-7.5|+2.5,2022_02_SEA_SF|2022_02_CIN_DAL|2022_02_TB_NO,0.42734802957995127,LOSS,0,1,False
2022,3,2,2022_03_BAL_NE-NE|2022_03_LV_TEN-TEN,NE|TEN,+2.5|+1.5,2022_03_BAL_NE|2022_03_LV_TEN,0.5474109474775186,LOSS,0,1,False
2022,6,2,2022_06_NE_CLE-NE|2022_06_NYJ_GB-GB,NE|GB,+2.5|-7.5,2022_06_NE_CLE|2022_06_NYJ_GB,0.5568946473872308,LOSS,0,1,False
2022,7,2,2022_07_IND_TEN-IND|2022_07_NO_ARI-NO,IND|NO,+2.5|+2.5,2022_07_IND_TEN|2022_07_NO_ARI,0.5582726828213477,LOSS,0,1,False
2022,7,2,2022_07_IND_TEN-IND|2022_07_PIT_MIA-MIA,IND|MIA,+2.5|-7.5,2022_07_IND_TEN|2022_07_PIT_MIA,0.5568946473872308,LOSS,0,1,False
