season,week,n_legs,n_dogs,n_favorites,dog_fraction,wins,week_hit_rate,expected_all_win_prob,all_win,mean_p_est,tickets_2team,tickets_3team,ticket_wins_2team,ticket_wins_3team,mean_product_2team,mean_product_3team
2018,1,3,2,1,0.6666666666666666,3,1.0,0.43091497706314924,1,0.7553566868618411,3.0,1.0,3.0,1.0,0.5705352894992292,0.43091497706314924
2018,3,2,2,0,1.0,1,0.5,0.5488563311488025,0,0.7408615728131293,1.0,,0.0,,0.5488563311488025,
2018,4,4,2,2,0.5,4,1.0,0.3135404922146513,1,0.7483229505702542,6.0,4.0,6.0,4.0,0.5599736963650769,0.41902099657168435
2018,6,3,2,1,0.6666666666666666,0,0.0,0.41973512509447775,0,0.7487725025939657,3.0,1.0,0.0,0.0,0.5606282027003652,0.41973512509447775
2018,8,4,2,2,0.5,4,1.0,0.3160971660168725,1,0.749854067708318,6.0,4.0,6.0,4.0,0.5622624120000377,0.42158677226410635
2018,9,3,3,0,1.0,3,1.0,0.4032861957749541,1,0.7388328883294019,3.0,1.0,3.0,1.0,0.5458634083423181,0.4032861957749541
2018,10,2,0,2,0.0,1,0.5,0.5500522618909207,0,0.7416572308315326,1.0,,0.0,,0.5500522618909207,
2018,11,2,1,1,0.5,1,0.5,0.5476148643833738,0,0.7400286887492848,1.0,,0.0,,0.5476148643833738,
2018,15,5,2,3,0.4,3,0.6,0.24683630625623998,0,0.7560634652356695,6.0,4.0,1.0,0.0,0.5770348467099953,0.4382606163028411
2018,16,2,2,0,1.0,1,0.5,0.5530914109908797,0,0.7437369410970787,1.0,,0.0,,0.5530914109908797,
2018,17,2,0,2,0.0,0,0.0,0.5711770995700478,0,0.755864681908394,1.0,,0.0,,0.5711770995700478,
2019,1,2,2,0,1.0,2,1.0,0.5601986932439665,1,0.7485141114229583,1.0,,1.0,,0.5601986932439665,
2019,3,3,2,1,0.6666666666666666,3,1.0,0.4261185797542782,1,0.7526271278874264,3.0,1.0,3.0,1.0,0.5663562806987517,0.4261185797542782
2019,4,3,2,1,0.6666666666666666,2,0.6666666666666666,0.41873604892985117,0,0.7483796278026883,3.0,1.0,1.0,0.0,0.5598869955436229,0.41873604892985117
2019,7,2,2,0,1.0,1,0.5,0.5502390171463583,0,0.7418003346812131,1.0,,0.0,,0.5502390171463583,
2019,11,2,1,1,0.5,1,0.5,0.5560657171285477,0,0.7457563187366776,1.0,,0.0,,0.5560657171285477,
2019,13,2,2,0,1.0,1,0.5,0.5504026375890203,0,0.7419257124879549,1.0,,0.0,,0.5504026375890203,
2019,16,3,1,2,0.3333333333333333,2,0.6666666666666666,0.4040825669774584,0,0.7393063756908376,3.0,1.0,1.0,0.0,0.5465725564370034,0.4040825669774584
2019,17,2,2,0,1.0,2,1.0,0.5780315500343973,1,0.7604348514103969,1.0,,1.0,,0.5780315500343973,
2020,1,3,2,1,0.6666666666666666,3,1.0,0.4281882737265582,1,0.7537250982239868,3.0,1.0,3.0,1.0,0.568099711298958,0.42818827372655816
2020,2,3,0,3,0.0,3,1.0,0.3976010159336582,1,0.7353307754045099,3.0,1.0,3.0,1.0,0.5407110409477249,0.39760101593365815
2020,3,3,2,1,0.6666666666666666,3,1.0,0.40315269754805116,1,0.7387401764616498,3.0,1.0,3.0,1.0,0.5457347065708743,0.4031526975480511
2020,4,2,0,2,0.0,1,0.5,0.5556681762548301,0,0.7454524227433608,1.0,,0.0,,0.5556681762548301,
2020,12,3,1,2,0.3333333333333333,3,1.0,0.4060671856604839,1,0.7405205428303402,3.0,1.0,3.0,1.0,0.5483650068228803,0.4060671856604839
2020,13,3,2,1,0.6666666666666666,3,1.0,0.40034280183005644,1,0.7370184299054484,3.0,1.0,3.0,1.0,0.5431949083583657,0.40034280183005644
2021,3,3,1,2,0.3333333333333333,3,1.0,0.41210538878636016,1,0.7441814007349454,3.0,1.0,3.0,1.0,0.5537939622631741,0.41210538878636016
2021,4,3,1,2,0.3333333333333333,2,0.6666666666666666,0.4174961672669564,0,0.7474290469249604,3.0,1.0,1.0,0.0,0.5586256126095615,0.4174961672669564
2021,5,4,3,1,0.75,3,0.75,0.29910810699203066,0,0.7395454605073152,6.0,4.0,3.0,1.0,0.5469208865552423,0.40446312610544777
2021,10,2,1,1,0.5,0,0.0,0.5448724729438981,0,0.7381567691359179,1.0,,0.0,,0.5448724729438981,
2021,11,2,2,0,1.0,1,0.5,0.5543671132195294,0,0.7445862399408603,1.0,,0.0,,0.5543671132195294,
2021,12,2,1,1,0.5,2,1.0,0.5529228029588968,1,0.7436078953955809,1.0,,1.0,,0.5529228029588968,
2021,13,2,0,2,0.0,2,1.0,0.5502390171463583,1,0.7418003346812131,1.0,,1.0,,0.5502390171463583,
2021,14,2,1,1,0.5,2,1.0,0.5629017098527,1,0.7502990914722909,1.0,,1.0,,0.5629017098527,
2021,16,4,1,3,0.25,4,1.0,0.3111583988599486,1,0.7468955956281604,6.0,4.0,6.0,4.0,0.5578406744493275,0.41663020249684946
2021,17,2,0,2,0.0,1,0.5,0.5560657171285477,0,0.7457563187366776,1.0,,0.0,,0.5560657171285477,
2022,1,3,2,1,0.6666666666666666,1,0.3333333333333333,0.41026142088383094,0,0.7430834416491111,3.0,1.0,0.0,0.0,0.5521509446993565,0.41026142088383094
2022,2,3,1,2,0.3333333333333333,1,0.3333333333333333,0.42734802957995127,0,0.753258325823321,3.0,1.0,0.0,0.0,0.5673762748041755,0.42734802957995127
2022,3,2,2,0,1.0,1,0.5,0.5474109474775186,0,0.7398722507822,1.0,,0.0,,0.5474109474775186,
2022,6,2,1,1,0.5,1,0.5,0.5568946473872308,0,0.746259058247414,1.0,,0.0,,0.5568946473872308,
2022,7,3,2,1,0.6666666666666666,2,0.6666666666666666,0.4150434775910947,0,0.7459333248771504,3.0,1.0,1.0,0.0,0.5564137741836895,0.4150434775910947
2022,10,4,3,1,0.75,4,1.0,0.31549029050081673,1,0.7495113546895118,6.0,4.0,6.0,4.0,0.5617398855441352,0.4209894127505268
2022,11,2,2,0,1.0,2,1.0,0.5766383144835873,1,0.7593792679821252,1.0,,1.0,,0.5766383144835873,
2022,12,3,2,1,0.6666666666666666,3,1.0,0.4450024129390495,1,0.7635434307301018,3.0,1.0,3.0,1.0,0.5829362752379019,0.4450024129390495
2022,13,2,1,1,0.5,2,1.0,0.5595039754572394,1,0.74811899031798,1.0,,1.0,,0.5595039754572394,
2022,14,3,1,2,0.3333333333333333,3,1.0,0.42867230418521757,1,0.7541574221486339,3.0,1.0,3.0,1.0,0.5686386016293598,0.42867230418521757
2022,15,3,3,0,1.0,1,0.3333333333333333,0.45941530178512907,0,0.7716403311961502,3.0,1.0,0.0,0.0,0.5954108735994271,0.4594153017851291
2022,16,4,3,1,0.75,4,1.0,0.337271697974441,1,0.7621632802510508,6.0,4.0,6.0,4.0,0.5808455309600974,0.4426270289843606
2022,18,2,1,1,0.5,0,0.0,0.578167691284727,0,0.7603741682004597,1.0,,0.0,,0.578167691284727,
2022,19,2,1,1,0.5,1,0.5,0.5633849451089579,0,0.7506673560281065,1.0,,0.0,,0.5633849451089579,
2023,1,2,2,0,1.0,1,0.5,0.5613519138046958,0,0.7492567804322923,1.0,,0.0,,0.5613519138046958,
2023,2,6,3,3,0.5,5,0.8333333333333334,0.17964704777058108,0,0.7512819686881566,6.0,4.0,3.0,1.0,0.5749233164984447,0.43588640673830653
2023,3,4,2,2,0.5,2,0.5,0.3302210321906469,0,0.7582005332702245,6.0,4.0,1.0,0.0,0.5747939465790167,0.43569781687802045
2023,4,3,3,0,1.0,1,0.3333333333333333,0.4124002207442133,0,0.7443839980638233,3.0,1.0,0.0,0.0,0.5540767300404085,0.4124002207442133
2023,5,4,4,0,1.0,4,1.0,0.32464466393079855,1,0.7548774468931405,6.0,4.0,6.0,4.0,0.569818494639476,0.43011088062314
2023,7,4,3,1,0.75,3,0.75,0.32825762663076125,0,0.7569702387999946,6.0,4.0,3.0,1.0,0.5729818791137725,0.4336968150276812
2023,8,3,2,1,0.6666666666666666,2,0.6666666666666666,0.43835540685089847,0,0.759914225484892,3.0,1.0,1.0,0.0,0.5772618530637718,0.43835540685089847
2023,9,3,3,0,1.0,2,0.6666666666666666,0.430044693358146,0,0.7548708059418506,3.0,1.0,1.0,0.0,0.5697845515563899,0.430044693358146
2023,11,5,4,1,0.8,4,0.8,0.24806997157993768,0,0.7569425997643379,6.0,4.0,3.0,1.0,0.5799722511633988,0.4415380069012872
2023,12,3,2,1,0.6666666666666666,1,0.3333333333333333,0.42129113217782366,0,0.7498378158254035,3.0,1.0,0.0,0.0,0.5621175583324436,0.4212911321778236
2023,14,3,2,1,0.6666666666666666,3,1.0,0.439577566702881,1,0.7604001931463985,3.0,1.0,3.0,1.0,0.5781677944992425,0.43957756670288106
2023,15,2,1,1,0.5,1,0.5,0.5895163986053503,0,0.7679069946148737,1.0,,0.0,,0.5895163986053503,
2023,17,2,1,1,0.5,2,1.0,0.5543671132195294,1,0.7445862399408603,1.0,,1.0,,0.5543671132195294,
2023,18,3,2,1,0.6666666666666666,3,1.0,0.47547116520072324,1,0.7813479735471387,3.0,1.0,3.0,1.0,0.6098405490424859,0.47547116520072324
2023,19,2,2,0,1.0,2,1.0,0.5555441727725787,1,0.7453576311660388,1.0,,1.0,,0.5555441727725787,
2024,3,2,1,1,0.5,1,0.5,0.5529228029588968,0,0.7436078953955809,1.0,,0.0,,0.5529228029588968,
2024,4,8,6,2,0.75,6,0.75,0.10982083459666549,0,0.7588423217180229,6.0,4.0,3.0,1.0,0.5924485939610241,0.4559915377956233
2024,5,3,3,0,1.0,3,1.0,0.419320854098692,1,0.7484906326895802,3.0,1.0,3.0,1.0,0.56023278050851,0.419320854098692
