# Source: nflverse/nfldata games.csv (reference feed, NOT a sportsbook)
# Commit: ad855ef72bc4199894bf702821547a3383f9839a
# Feed last updated: 2026-09-19T17:55:13+00:00
# This is a DATA FEED, not a sportsbook. No teaser prices come from it.
game_id,season,week,kickoff,away_team,home_team,team,spread,total,sportsbook,captured_at,source_reference,raw_source_value,notes
2026_02_JAX_DEN,2026,2,2026-09-20T16:05:00-04:00,JAX,DEN,JAX,2.5,45.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=2.5 total_line=45.5,"reference feed; no book attribution, no documented capture time"
2026_02_LV_LAC,2026,2,2026-09-20T16:05:00-04:00,LV,LAC,LAC,-6.5,43.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=6.5 total_line=43.5,"reference feed; no book attribution, no documented capture time"
2026_02_LV_LAC,2026,2,2026-09-20T16:05:00-04:00,LV,LAC,LV,6.5,43.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=6.5 total_line=43.5,"reference feed; no book attribution, no documented capture time"
2026_02_SEA_ARI,2026,2,2026-09-20T16:25:00-04:00,SEA,ARI,ARI,3.5,40.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=-3.5 total_line=40.5,"reference feed; no book attribution, no documented capture time"
2026_02_SEA_ARI,2026,2,2026-09-20T16:25:00-04:00,SEA,ARI,SEA,-3.5,40.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=-3.5 total_line=40.5,"reference feed; no book attribution, no documented capture time"
2026_02_WAS_DAL,2026,2,2026-09-20T16:25:00-04:00,WAS,DAL,DAL,-3.5,50.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=3.5 total_line=50.5,"reference feed; no book attribution, no documented capture time"
2026_02_WAS_DAL,2026,2,2026-09-20T16:25:00-04:00,WAS,DAL,WAS,3.5,50.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=3.5 total_line=50.5,"reference feed; no book attribution, no documented capture time"
2026_02_MIA_SF,2026,2,2026-09-20T16:25:00-04:00,MIA,SF,SF,-13.5,44.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=13.5 total_line=44.5,"reference feed; no book attribution, no documented capture time"
2026_02_MIA_SF,2026,2,2026-09-20T16:25:00-04:00,MIA,SF,MIA,13.5,44.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=13.5 total_line=44.5,"reference feed; no book attribution, no documented capture time"
2026_02_IND_KC,2026,2,2026-09-20T20:20:00-04:00,IND,KC,KC,-6,46.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=6 total_line=46.5,"reference feed; no book attribution, no documented capture time"
2026_02_IND_KC,2026,2,2026-09-20T20:20:00-04:00,IND,KC,IND,6,46.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=6 total_line=46.5,"reference feed; no book attribution, no documented capture time"
2026_02_NYG_LA,2026,2,2026-09-21T20:15:00-04:00,NYG,LA,LA,-7,48.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=7 total_line=48.5,"reference feed; no book attribution, no documented capture time"
2026_02_NYG_LA,2026,2,2026-09-21T20:15:00-04:00,NYG,LA,NYG,7,48.5,NFLVERSE_NFLDATA_FEED,2026-09-19T17:55:13+00:00,nflverse/nfldata@ad855ef72bc4,spread_line=7 total_line=48.5,"reference feed; no book attribution, no documented capture time"
